"Series ID","Parent ID",Name,Unit,Frequency,Type,"Is Heading",Source,Comment
29,28,"Financial intermediation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
30,28,"Insurance and auxiliary to financial intermediation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
31,18,"Real estate",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
32,18,"Professional, scientific and technical activities",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
33,18,"Public administration",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
34,18,Education,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
35,18,"Human health and social work activities",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
36,18,"Entertainment, recreation and other services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
37,2,"Nominal GDP",,,,True,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
38,37,"GDP at market price",Rufiyaa,Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics","Figures for 2020 and 2021 are projections available as at 2 October 2020, forecasted by the Maldives Monetary Authority and the Ministry of Finance."
39,38,"Taxes less subsidies",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
40,38,"Total GVA at basic prices",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
41,40,Primary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
42,41,Agriculture,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
43,41,Fisheries,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
44,40,Secondary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
45,44,Manufacturing,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
46,45,"Fish preparation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
47,45,"Other manufacturing products",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
48,44,"Electricity and water",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
49,48,Electricity,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
50,48,"Water and sewerage",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
51,44,Construction,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
52,40,Tertiary,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
53,52,"Wholesale and retail trade",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
54,52,Tourism,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
55,54,Resorts,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
56,54,"Other accommodation services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
57,54,"Food and beverage services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
58,52,"Transportation and communication",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
59,58,Transportation,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
60,58,"Travel agencies and support services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
61,58,"Postal and telecommunication",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
62,52,"Financial services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
63,62,"Financial intermediation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
64,62,"Insurance and auxiliary to financial intermediation",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
65,52,"Real estate",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
66,52,"Professional, scientific and technical activities",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
67,52,"Public administration",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
68,52,Education,Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
69,52,"Human health and social work activities",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
70,52,"Entertainment, recreation and other services",Rufiyaa,Annual,Flow,False,"Maldives Bureau of Statistics",
71,2,"Memorandum Items",,,,True,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
72,71,"Real GDP growth rate",Percent,Annual,,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
73,71,"Real GDP (USD)","US dollar",Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
74,71,"Real GDP per capita (MVR)",Rufiyaa,Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
75,71,"Real GDP per capita (USD)","US dollar",Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
76,71,"Nominal GDP (USD)","US dollar",Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
77,71,"Nominal GDP per capita (MVR)",Rufiyaa,Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
78,71,"Nominal GDP per capita (USD)","US dollar",Annual,Flow,False,"Maldives Monetary Authority; Ministry of Finance; Maldives Bureau of Statistics",
79,71,Population,People,Annual,Stock,False,"Maldives Bureau of Statistics","This represents projected mid-year population of Maldives published by the Maldives Bureau of Statistics. Figures include local and expatriate population. "
80,2,"Quarterly National Accounts (Constant Prices)",,,,True,"Maldives Bureau of Statistics",
81,80,"GDP at market price",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
82,81,"Taxes less subsidies",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
83,81,"Total GVA at basic prices",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
84,83,Primary,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
85,84,Agriculture,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
86,84,Fisheries,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
87,83,Secondary,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
88,87,Manufacturing,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
89,87,"Electricity and water",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
90,87,Construction,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
91,83,Tertiary,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
92,91,"Wholesale and retail trade",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
93,91,Tourism,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
94,91,"Transportation and communication",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
95,91,"Financial services",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
96,91,"Real estate",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
97,91,"Professional, scientific and technical activities",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
98,91,"Public administration",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
99,91,Education,Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
100,91,"Human health and social work activities",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
101,91,"Entertainment, recreation and other services",Rufiyaa,Quarterly,Flow,False,"Maldives Bureau of Statistics",
102,1,Tourism,,,,True,"Maldives Airports Company Limited; Maldives Monetary Authority; Ministry of Tourism",
103,102,"Tourist Arrivals",,,,True,"Ministry of Tourism",
104,103,"Total tourist arrivals",Tourists,Monthly,Flow,False,"Ministry of Tourism",
105,104,Europe,Tourists,Monthly,Flow,False,"Ministry of Tourism",
106,105,"Central / Eastern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
107,106,Belarus,Tourists,Monthly,Flow,False,"Ministry of Tourism",
108,106,Bulgaria,Tourists,Monthly,Flow,False,"Ministry of Tourism",
109,106,"Czech Republic",Tourists,Monthly,Flow,False,"Ministry of Tourism",
110,106,Hungary,Tourists,Monthly,Flow,False,"Ministry of Tourism",
111,106,Kazakhstan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
112,106,Latvia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
113,106,Lithuania,Tourists,Monthly,Flow,False,"Ministry of Tourism",
114,106,Poland,Tourists,Monthly,Flow,False,"Ministry of Tourism",
115,106,Romania,Tourists,Monthly,Flow,False,"Ministry of Tourism",
116,106,Russia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
117,106,Slovakia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
118,106,Ukraine,Tourists,Monthly,Flow,False,"Ministry of Tourism",
119,106,Uzbekistan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
120,106,"Other Central / Eastern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
121,105,"Northern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
122,121,Denmark,Tourists,Monthly,Flow,False,"Ministry of Tourism",
123,121,Finland,Tourists,Monthly,Flow,False,"Ministry of Tourism",
124,121,Ireland,Tourists,Monthly,Flow,False,"Ministry of Tourism",
125,121,Norway,Tourists,Monthly,Flow,False,"Ministry of Tourism",
126,121,Sweden,Tourists,Monthly,Flow,False,"Ministry of Tourism",
127,121,"United Kingdom",Tourists,Monthly,Flow,False,"Ministry of Tourism",
128,121,"Other Northern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
129,105,"Southern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
130,129,Croatia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
131,129,Greece,Tourists,Monthly,Flow,False,"Ministry of Tourism",
132,129,Italy,Tourists,Monthly,Flow,False,"Ministry of Tourism",
133,129,Portugal,Tourists,Monthly,Flow,False,"Ministry of Tourism",
134,129,Serbia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
135,129,Slovenia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
136,129,Spain,Tourists,Monthly,Flow,False,"Ministry of Tourism",
137,129,"Other Southern Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
138,105,"Western Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
139,138,Austria,Tourists,Monthly,Flow,False,"Ministry of Tourism",
140,138,Belgium,Tourists,Monthly,Flow,False,"Ministry of Tourism",
141,138,France,Tourists,Monthly,Flow,False,"Ministry of Tourism",
142,138,Germany,Tourists,Monthly,Flow,False,"Ministry of Tourism",
143,138,"Netherlands / Holland",Tourists,Monthly,Flow,False,"Ministry of Tourism",
144,138,Switzerland,Tourists,Monthly,Flow,False,"Ministry of Tourism",
145,138,"Other Western Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
146,105,"East Mediterranean Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
147,146,Israel,Tourists,Monthly,Flow,False,"Ministry of Tourism",
148,146,Turkey,Tourists,Monthly,Flow,False,"Ministry of Tourism",
149,146,"Other East Mediterranean Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
150,105,"Other Europe",Tourists,Monthly,Flow,False,"Ministry of Tourism",
151,104,"Asia and The Pacific",Tourists,Monthly,Flow,False,"Ministry of Tourism",
152,151,"North East Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
153,152,China,Tourists,Monthly,Flow,False,"Ministry of Tourism",
154,152,Japan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
155,152,Korea,Tourists,Monthly,Flow,False,"Ministry of Tourism",
156,152,Taiwan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
157,152,"Other North East Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
158,151,"South East Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
159,158,Indonesia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
160,158,Malaysia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
161,158,Myanmar,Tourists,Monthly,Flow,False,"Ministry of Tourism",
162,158,Philippines,Tourists,Monthly,Flow,False,"Ministry of Tourism",
163,158,Singapore,Tourists,Monthly,Flow,False,"Ministry of Tourism",
164,158,Thailand,Tourists,Monthly,Flow,False,"Ministry of Tourism",
165,158,Vietnam,Tourists,Monthly,Flow,False,"Ministry of Tourism",
166,158,"Other South East Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
167,151,"South Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
168,167,Bangladesh,Tourists,Monthly,Flow,False,"Ministry of Tourism",
169,167,India,Tourists,Monthly,Flow,False,"Ministry of Tourism",
170,167,Iran,Tourists,Monthly,Flow,False,"Ministry of Tourism",
171,167,Pakistan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
172,167,"Sri lanka",Tourists,Monthly,Flow,False,"Ministry of Tourism",
173,167,"Other South Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
174,151,Oceania,Tourists,Monthly,Flow,False,"Ministry of Tourism",
175,174,Australia,Tourists,Monthly,Flow,False,"Ministry of Tourism",
176,174,"New Zealand",Tourists,Monthly,Flow,False,"Ministry of Tourism",
177,174,"Other Oceania",Tourists,Monthly,Flow,False,"Ministry of Tourism",
178,151,"Other Asia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
179,104,Americas,Tourists,Monthly,Flow,False,"Ministry of Tourism",
180,179,Argentina,Tourists,Monthly,Flow,False,"Ministry of Tourism",
181,179,Brazil,Tourists,Monthly,Flow,False,"Ministry of Tourism",
182,179,Canada,Tourists,Monthly,Flow,False,"Ministry of Tourism",
183,179,Mexico,Tourists,Monthly,Flow,False,"Ministry of Tourism",
184,179,U.s.a.,Tourists,Monthly,Flow,False,"Ministry of Tourism",
185,179,"Other Americas",Tourists,Monthly,Flow,False,"Ministry of Tourism",
186,104,"Middle East",Tourists,Monthly,Flow,False,"Ministry of Tourism",
187,186,Egypt,Tourists,Monthly,Flow,False,"Ministry of Tourism",
188,186,Jordan,Tourists,Monthly,Flow,False,"Ministry of Tourism",
189,186,Kuwait,Tourists,Monthly,Flow,False,"Ministry of Tourism",
190,186,Lebanon,Tourists,Monthly,Flow,False,"Ministry of Tourism",
191,186,Oman,Tourists,Monthly,Flow,False,"Ministry of Tourism",
192,186,Qatar,Tourists,Monthly,Flow,False,"Ministry of Tourism",
193,186,"Saudi Arabia",Tourists,Monthly,Flow,False,"Ministry of Tourism",
194,186,Syria,Tourists,Monthly,Flow,False,"Ministry of Tourism",
195,186,"United Arab Emirates",Tourists,Monthly,Flow,False,"Ministry of Tourism",
196,186,"Other Middle East",Tourists,Monthly,Flow,False,"Ministry of Tourism",
197,104,Africa,Tourists,Monthly,Flow,False,"Ministry of Tourism",
198,197,Algeria,Tourists,Monthly,Flow,False,"Ministry of Tourism",
199,197,Morocco,Tourists,Monthly,Flow,False,"Ministry of Tourism",
200,197,"South Africa",Tourists,Monthly,Flow,False,"Ministry of Tourism",
201,197,"Other Africa",Tourists,Monthly,Flow,False,"Ministry of Tourism",
202,104,"UN passport holders",Tourists,Monthly,Flow,False,"Ministry of Tourism",
203,104,"Stateless/not stated",Tourists,Monthly,Flow,False,"Ministry of Tourism",
204,102,"Tourism Indicators",,,,True,"Maldives Monetary Authority; Ministry of Tourism",
205,204,"Bed nights",Bednights,Monthly,Flow,False,"Ministry of Tourism",
206,205,"Guest houses",Bednights,Monthly,Flow,False,"Ministry of Tourism",
207,205,Hotels,Bednights,Monthly,Flow,False,"Ministry of Tourism",
208,205,Resorts,Bednights,Monthly,Flow,False,"Ministry of Tourism",
209,205,"Safari vessels",Bednights,Monthly,Flow,False,"Ministry of Tourism",
210,204,"Average stay",Days,Monthly,,False,"Ministry of Tourism","From April 2020 to June 2020, average stay and tourist bednights is based on the estimated number of tourists in the Maldives during the months April, May and June 2020 as due to the COVID-19 pandemic, some tourists in the Maldives were unable to travel back to their home country. Furthermore, from August 2020 average stay is based on a new data source available from Maldives Immigration portal.
Average stay for the year 2020 is 7.2 as reported by the Ministry of Tourism."
211,204,"Bed night capacity",Beds,Monthly,Flow,False,"Maldives Monetary Authority",
212,211,"Guest houses",Beds,Monthly,Flow,False,"Maldives Monetary Authority",
213,211,Hotels,Beds,Monthly,Flow,False,"Maldives Monetary Authority",
214,211,Resorts,Beds,Monthly,Flow,False,"Maldives Monetary Authority",
215,211,"Safari vessels",Beds,Monthly,Flow,False,"Maldives Monetary Authority",
216,204,"Occupancy rate",Percent,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
217,216,"Guest houses",Percent,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
218,216,Hotels,Percent,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
219,216,Resorts,Percent,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
220,216,"Safari vessels",Percent,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
221,204,"Registered bed capacity",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
222,221,"Guest houses",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
223,221,Hotels,Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
224,221,Resorts,Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
225,221,"Safari vessels",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
226,204,"Operational bed capacity",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
227,226,"Guest houses",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
228,226,Hotels,Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
229,226,Resorts,Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
230,226,"Safari vessels",Beds,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
231,204,"Registered numbers",Establishments,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
232,231,"Guest houses","Guest Houses",Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
233,231,Hotels,Hotels,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
234,231,Resorts,Resorts,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
235,231,"Safari vessels","Safari Vessels",Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
236,204,"Operational numbers",Establishments,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
237,236,"Guest houses","Guest Houses",Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
238,236,Hotels,Hotels,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
239,236,Resorts,Resorts,Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
240,236,"Safari vessels","Safari Vessels",Monthly,,False,"Ministry of Tourism","Annual and quarterly numbers represent average for the period."
241,102,"International Flight Movements",,,,True,"Maldives Airports Company Limited","This represents flight movements at Velana International Airport."
242,241,"Total number of arrival flights",Flights,Monthly,Flow,False,"Maldives Airports Company Limited","This represents flight movements at Velana International Airport."
243,242,"Scheduled flights",Flights,Monthly,Flow,False,"Maldives Airports Company Limited","This represents flight movements at Velana International Airport.
From April 2020 onward, data for scheduled flights include cargo flights."
244,242,"General flights",Flights,Monthly,Flow,False,"Maldives Airports Company Limited","This represents flight movements at Velana International Airport.
This refers to chartered flights and private flights."
245,102,"Memorandum Items",,,,True,"Maldives Monetary Authority",
246,245,"Travel receipts","US dollar",Monthly,Flow,False,"Maldives Monetary Authority","This is calculated using tourism goods and services tax, green tax, tourism tax, duty free sales and airport development fee."
247,1,Fisheries,,,,True,"Maldives Customs Service; Ministry of Fisheries, Marine Resources and Agriculture",
248,247,"Fish Catch and Purchases",,,,True,"Ministry of Fisheries, Marine Resources and Agriculture",
249,248,"Fish catch","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
250,249,"Skipjack tuna","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
251,249,"Yellowfin tuna","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
252,249,Other,"Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
253,248,"Fresh fish purchases","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
254,253,"Skipjack tuna","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
255,253,"Yellowfin tuna","Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
256,253,Other,"Metric tonne",Monthly,Flow,False,"Ministry of Fisheries, Marine Resources and Agriculture",
257,247,"Fish Prices",,,,True,"Ministry of Fisheries, Marine Resources and Agriculture",
258,257,"Local Company Prices Per KG",,,,True,"Ministry of Fisheries, Marine Resources and Agriculture",
259,258,"Iced skipjack tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
260,258,"Skipjack tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
261,258,"Yellowfin tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
262,257,"International Market Prices Per KG",,,,True,"Ministry of Fisheries, Marine Resources and Agriculture",
263,262,"Bigeye tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
264,262,"Skipjack tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
265,262,"Yellowfin tuna",Rufiyaa,Monthly,,False,"Ministry of Fisheries, Marine Resources and Agriculture",
266,247,"Volume of Fish Exports",,,,True,"Maldives Customs Service",
267,266,"Fish exports","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
268,267,"Fresh, chilled or frozen tuna","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
269,268,"Skipjack tuna","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
270,268,"Yellowfin tuna","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
271,268,"Other tuna","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
272,267,"Fresh, chilled or frozen fish (excluding tuna)","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
273,267,"Canned or pouched fish","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
274,267,"Processed fish","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
275,274,"Processed tuna","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
276,274,"Processed fish (excluding tuna)","Metric tonne",Monthly,Flow,False,"Maldives Customs Service",
277,1,Prices,,,,True,"Maldives Bureau of Statistics",
278,277,National,,,,True,"Maldives Bureau of Statistics",
279,278,CPI,,,,True,"Maldives Bureau of Statistics"," Annual and quarterly data represent an for the period."
280,279,"Total index",Index,Monthly,,False,"Maldives Bureau of Statistics",
281,280,"Food and non-alcoholic beverages",Index,Monthly,,False,"Maldives Bureau of Statistics",
282,281,Food,Index,Monthly,,False,"Maldives Bureau of Statistics",
283,282,"Bread and cereals (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
284,283,"Cereals (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
285,283,"Flour of cereals (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
286,283,"Bread and bakery products (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
287,283,"Breakfast cereals (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
288,283,"Macaroni, noodles, couscous and similar pasta products (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
289,283,"Other cereal and grain mill products (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
290,282,"Meat (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
291,290,"Meat, fresh, chilled or frozen (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
292,290,"Meat, offal, blood and other parts of slaughtered animals' preparations (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
293,282,"Fish (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
294,293,"Fish, live, fresh, chilled or frozen (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
295,293,"Fish, dried, salted, in brine or smoked (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
296,293,"Fish preparations (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
